seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,profit,attach_pct
7,0,1985,small,microstar_64,thrift,5.50,34.8,38.0,0.916,24,10,1,453,0,3500,7773,-4273,0.01
7,1,1985,small,microstar_64,thrift,5.10,31.2,38.0,0.820,12,9,0,266,0,3000,6743,-3743,0.01
7,2,1985,small,microstar_64,thrift,4.40,29.3,38.0,0.771,14,8,0,135,0,2800,6228,-3428,0.00
7,3,1986,small,microstar_64,thrift,5.00,30.6,38.0,0.804,15,8,0,443,0,2800,6228,-3428,0.01
7,4,1986,small,microstar_64,thrift,4.70,32.2,38.0,0.847,21,8,0,255,0,2700,5991,-3291,0.01
7,5,1986,small,microstar_64,thrift,4.90,28.8,38.0,0.758,8,7,0,404,0,2500,5491,-2991,0.01
7,6,1988,small,famiclone,thrift,6.40,34.8,38.0,0.916,11,7,0,15509,75226,4500,10047,69679,0.13
7,7,1988,small,famiclone,thrift,5.60,35.3,38.0,0.929,10,7,5,1202,0,6600,14700,-8100,0.01
7,9,1989,small,famiclone,thrift,6.30,39.3,38.0,1.034,3,4,3,8726,40459,4900,10827,34532,0.07
7,8,1989,small,famiclone,thrift,8.30,38.5,38.0,1.014,4,7,5,666293,3428948,6400,14297,3421051,5.55
7,11,1989,medium,famiclone,thrift,6.10,145.3,166.0,0.875,2,6,1,8266,53186,10400,23030,40556,0.07
7,10,1989,medium,famiclone,thrift,7.80,168.4,166.0,1.014,1,8,1,168075,1271900,12500,27831,1256569,1.40
7,12,1989,medium,famiclone,thrift,9.20,175.8,166.0,1.059,0,6,1,656258,5046824,10400,23030,5034194,5.47
7,13,1990,medium,famiclone,meridian,8.00,159.7,166.0,0.962,0,6,1,144605,877558,19600,23030,874128,1.21
7,14,1990,medium,famiclone,meridian,6.70,142.0,166.0,0.855,0,6,1,17740,91446,19600,23030,88016,0.15
7,15,1990,medium,famiclone,meridian,7.50,168.1,166.0,1.013,0,6,1,52101,307918,19600,23030,304488,0.43
7,16,1990,medium,famiclone,meridian,7.40,150.3,166.0,0.905,1,6,1,60594,363995,19600,23030,360565,0.50
7,17,1990,medium,famiclone,meridian,9.80,208.5,166.0,1.256,1,7,1,598790,3794139,21800,25606,3790333,4.99
7,18,1991,medium,famiclone,northgate,7.20,161.2,166.0,0.971,1,6,1,39497,178649,29900,23030,185519,0.33
7,19,1991,medium,famiclone,northgate,9.30,179.3,166.0,1.080,0,6,1,401711,2106318,29900,23030,2113188,3.35
7,20,1991,medium,famiclone,northgate,7.10,160.8,166.0,0.969,3,6,0,29222,130358,27500,21160,136698,0.24
7,21,1991,medium,famiclone,northgate,7.10,147.4,166.0,0.888,3,6,0,34119,158021,27500,21160,164361,0.28
7,22,1991,medium,famiclone,northgate,6.80,147.2,166.0,0.887,3,6,0,22179,93885,27500,21160,100225,0.18
7,23,1991,medium,famiclone,northgate,6.60,138.1,166.0,0.832,1,5,1,20489,86026,26700,20534,92192,0.17
7,24,1992,medium,famiclone,northgate,9.40,176.6,166.0,1.064,0,6,1,201482,1083537,29900,23030,1090407,1.68
7,25,1992,medium,ibm_compatible,northgate,8.50,165.5,166.0,0.997,1,6,0,426822,2643727,18100,13911,2647916,4.74
7,26,1992,medium,ibm_compatible,northgate,8.30,163.4,166.0,0.985,1,6,0,235116,1465554,18100,13911,1469743,2.61
7,27,1992,medium,ibm_compatible,atlas,7.10,151.2,166.0,0.911,0,6,1,66937,309956,28700,15121,323535,0.74
7,28,1992,medium,ibm_compatible,atlas,8.70,177.8,166.0,1.071,0,6,1,436484,2196807,28700,15121,2210386,4.85
7,29,1992,medium,ibm_compatible,atlas,9.10,179.5,166.0,1.081,0,6,1,479557,2454238,28700,15121,2467817,5.33
7,30,1993,medium,ibm_compatible,atlas,8.70,168.6,166.0,1.016,3,6,0,479594,2499271,26400,13911,2511760,5.33
7,31,1993,large,pocket_play,atlas,8.30,1352.5,1300.0,1.040,0,37,1,468250,2614422,389000,204745,2798677,5.85
7,32,1994,large,pocket_play,atlas,9.50,1473.1,1300.0,1.133,1,37,1,461392,2608633,389000,204745,2792888,5.77
7,33,1995,large,mega16,atlas,9.30,1444.6,1300.0,1.111,0,36,1,487830,2594751,559000,294187,2859564,4.88
