seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
4,1986,-932,1,0,bedroom,2,4.60,0.4,0
4,1987,134789,2,5150,shared_workspace,7,5.86,6.4,1397
4,1988,518261,7,22775,professional_studio,14,6.29,18.5,9260
4,1989,1514770,12,47825,large_studio_floor,20,6.65,35.1,26790
4,1990,12279677,12,47825,large_studio_floor,25,6.94,53.3,201037
4,1991,24759181,12,66975,large_studio_floor,31,7.25,78.8,405169
4,1992,32302311,12,89100,large_studio_floor,36,7.44,100.0,535604
4,1993,41671160,12,103750,large_studio_floor,42,7.60,100.0,678290
4,1994,45104303,12,128850,large_studio_floor,44,7.62,100.0,735754
4,1995,44829628,12,149150,large_studio_floor,45,7.62,100.0,749932
4,1996,45799453,12,169525,large_studio_floor,46,7.66,100.0,794985
4,1996,45799453,12,169525,large_studio_floor,46,7.66,100.0,794985
