seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct
7,0,1985,small,microstar_64,thrift,5.40,34.8,38.0,0.915,16,10,1,565,0,3500,7773,0,-4273,0.01
7,1,1985,small,microstar_64,thrift,4.40,30.1,38.0,0.792,13,9,0,103,0,3000,6743,0,-3743,0.00
7,2,1986,small,microstar_64,thrift,5.90,33.6,38.0,0.886,18,8,0,2457,11227,2800,6243,0,7784,0.06
7,3,1986,small,microstar_64,thrift,5.80,34.3,38.0,0.903,11,7,5,1309,3683,3800,8475,0,-992,0.03
7,4,1986,small,microstar_64,thrift,8.10,41.7,38.0,1.097,3,8,3,133891,762441,3600,7960,0,758081,3.52
7,6,1987,small,microstar_64,thrift,7.10,38.7,38.0,1.017,2,3,0,8338,46050,2300,30318,25184,18032,0.22
7,5,1986,small,microstar_64,thrift,7.50,42.0,38.0,1.105,3,4,4,27414,155144,2900,23048,16520,134996,0.72
7,8,1987,small,famiclone,meridian,7.50,39.2,38.0,1.032,2,3,0,21550,81484,9400,52857,41816,38027,0.18
7,7,1987,small,famiclone,thrift,9.10,45.3,38.0,1.192,0,3,1,165570,863175,4900,47578,36718,820497,1.38
7,9,1987,small,famiclone,meridian,8.80,46.1,38.0,1.213,0,3,1,183055,767049,10500,72677,60372,704872,1.53
7,10,1987,small,famiclone,meridian,8.30,43.7,38.0,1.151,3,3,0,71619,298085,9700,61714,50310,246071,0.60
7,11,1987,small,famiclone,meridian,7.20,39.8,38.0,1.048,3,3,0,14326,52471,9700,61714,50310,457,0.12
7,12,1987,small,famiclone,meridian,7.70,42.4,38.0,1.116,3,3,0,39821,164138,9700,61714,50310,112124,0.33
7,14,1988,medium,famiclone,northgate,6.50,157.5,166.0,0.949,1,6,1,11894,30085,33600,120377,94531,-56692,0.10
7,13,1988,small,famiclone,northgate,9.60,48.5,38.0,1.277,0,3,1,640886,2284037,16000,72702,60372,2227335,5.34
7,16,1988,small,famiclone,northgate,5.70,32.3,38.0,0.849,12,7,5,3894,0,21200,39359,23036,-18159,0.03
7,15,1988,medium,famiclone,northgate,8.20,178.3,166.0,1.074,1,6,1,172580,893612,34300,127017,100664,800895,1.44
7,18,1988,small,famiclone,northgate,5.80,28.4,38.0,0.748,2,4,3,4625,1896,15400,42745,30865,-25449,0.04
7,17,1988,medium,famiclone,northgate,7.50,167.6,166.0,1.010,0,6,1,55806,270240,33400,119724,94064,183916,0.47
7,20,1988,small,famiclone,northgate,6.20,27.9,38.0,0.734,3,3,1,15678,48125,11600,36655,27716,23070,0.13
7,21,1988,medium,famiclone,northgate,7.20,157.1,166.0,0.946,2,6,0,70719,367331,28900,87379,65142,308852,0.59
7,22,1989,medium,famiclone,northgate,6.50,128.7,166.0,0.775,0,6,1,23843,107889,26600,72792,52335,61697,0.20
7,19,1988,medium,famiclone,northgate,9.80,230.4,166.0,1.388,0,7,1,752069,4094295,36100,130015,102240,4000380,6.27
7,24,1989,medium,famiclone,atlas,5.60,119.4,166.0,0.719,3,6,0,27746,88267,37000,73271,53791,51996,0.23
