seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
4,1986,-521,1,0,bedroom,1,0,2,4.35,0.4,0
4,1987,81637,1,0,shared_workspace,1,901,5,5.34,3.8,758
4,1988,1679949,12,49675,large_studio_floor,1,8502,13,6.90,30.4,37430
4,1989,8460159,20,82600,campus,2,123200,23,7.13,57.5,235809
4,1990,31774280,20,102225,campus,2,126500,34,7.32,91.4,628879
4,1991,62948371,20,118950,campus,2,130900,45,7.63,100.0,1122462
4,1992,74191836,20,139800,campus,2,135300,56,7.71,100.0,1319604
4,1993,91776579,20,181750,campus,2,139700,67,7.85,100.0,1602991
4,1994,101808633,20,244800,campus,2,144100,71,7.92,100.0,1787899
4,1995,102533024,20,276000,campus,2,148500,73,7.95,100.0,1861361
4,1996,102913524,20,306625,campus,2,152900,75,7.96,100.0,1930783
4,1996,102913524,20,306625,campus,2,152900,75,7.96,100.0,1930783
