seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct
6,0,1985,small,microstar_64,thrift,4.90,31.8,38.0,0.837,19,10,1,150,0,3500,7773,0,-4273,0.00
6,1,1985,small,microstar_64,thrift,5.80,35.2,38.0,0.926,22,9,0,903,2147,3000,6743,0,-1596,0.02
6,2,1985,small,microstar_64,thrift,3.90,30.2,38.0,0.795,22,9,0,76,0,2900,6506,0,-3606,0.00
6,3,1986,small,microstar_64,thrift,5.10,30.0,38.0,0.790,11,8,0,753,1592,2700,5991,0,-1699,0.02
6,4,1986,small,microstar_64,thrift,5.20,30.8,38.0,0.809,12,7,0,1125,3920,2500,5491,0,929,0.03
6,5,1986,small,microstar_64,thrift,5.90,36.5,38.0,0.959,14,8,0,2116,9366,2700,5991,0,6075,0.06
6,6,1987,small,microstar_64,thrift,6.80,37.2,38.0,0.978,8,7,5,3668,17340,3600,7991,0,12949,0.10
6,7,1987,small,famiclone,thrift,6.20,35.5,38.0,0.934,3,7,3,2218,5738,5700,12597,0,-1159,0.02
6,8,1987,small,famiclone,thrift,7.20,40.1,38.0,1.054,3,8,5,15293,72238,6800,15147,0,63891,0.13
6,10,1988,small,famiclone,thrift,4.60,26.9,38.0,0.707,2,3,0,643,260,3100,11485,4674,-8125,0.01
6,9,1988,small,famiclone,thrift,7.60,39.4,38.0,1.036,1,7,5,57102,290184,6400,14297,0,282287,0.48
6,11,1988,small,famiclone,thrift,6.70,36.0,38.0,0.947,3,3,4,6544,29305,4800,28901,18196,5204,0.05
6,12,1988,medium,famiclone,thrift,8.00,168.0,166.0,1.012,2,6,3,86884,656483,10000,46492,24170,619991,0.72
6,13,1988,medium,famiclone,meridian,7.20,157.1,166.0,0.946,3,6,2,20355,106227,18800,67438,45301,57589,0.17
6,14,1989,medium,famiclone,meridian,7.30,150.9,166.0,0.909,2,6,1,29511,163879,18500,82677,60920,99702,0.25
6,15,1989,medium,famiclone,meridian,6.00,141.2,166.0,0.851,2,6,1,10251,44860,18900,86220,63968,-22460,0.09
6,16,1989,medium,famiclone,meridian,7.00,157.9,166.0,0.951,0,6,1,31259,175777,19000,87378,64984,107399,0.26
6,17,1989,medium,famiclone,meridian,7.00,150.6,166.0,0.907,1,6,1,13325,64270,19200,90111,67510,-6641,0.11
6,18,1989,medium,famiclone,meridian,9.20,181.8,166.0,1.095,0,6,1,656171,4112744,19600,94750,71720,4037594,5.47
6,19,1990,medium,famiclone,meridian,7.60,163.0,166.0,0.982,0,6,1,58020,350546,19600,94750,71720,275396,0.48
6,20,1990,medium,famiclone,northgate,8.60,179.7,166.0,1.083,0,6,1,267783,1372821,29900,94750,71720,1307971,2.23
6,21,1990,medium,famiclone,northgate,7.60,170.1,166.0,1.025,0,6,1,48174,225759,29900,94750,71720,160909,0.40
6,22,1990,medium,famiclone,northgate,7.10,156.9,166.0,0.945,2,6,0,43375,204709,27500,86075,64915,146134,0.36
6,24,1990,medium,famiclone,northgate,6.40,141.1,166.0,0.850,3,5,0,15205,58818,24300,76474,57810,6644,0.13
6,23,1990,medium,famiclone,northgate,9.00,172.9,166.0,1.042,3,6,0,401806,2137865,27500,88605,67445,2076760,3.35
6,25,1991,medium,famiclone,northgate,7.90,168.4,166.0,1.014,0,6,1,62182,311270,29900,100110,77080,241060,0.52
6,26,1991,medium,famiclone,northgate,7.10,154.4,166.0,0.930,3,6,0,33469,157914,27500,95628,74468,89786,0.28
6,27,1991,medium,famiclone,northgate,9.20,187.4,166.0,1.129,0,7,1,233290,1267371,33300,126388,100782,1174283,1.94
6,28,1991,medium,famiclone,northgate,9.60,196.9,166.0,1.186,0,6,1,401506,2241584,29900,123406,100376,2148078,3.35
6,29,1991,medium,famiclone,atlas,7.10,159.3,166.0,0.960,1,6,0,43458,157983,40200,111866,90706,86317,0.36
6,30,1991,medium,famiclone,atlas,8.60,181.8,166.0,1.095,0,6,1,169312,734326,43800,135278,112248,642848,1.41
6,31,1992,medium,famiclone,atlas,9.40,171.2,166.0,1.031,0,6,1,201424,895752,43800,142228,119198,797324,1.68
6,32,1992,medium,ibm_compatible,atlas,7.20,160.7,166.0,0.968,2,6,0,63066,306521,26400,128203,114292,204718,0.70
6,33,1992,medium,ibm_compatible,atlas,8.60,169.9,166.0,1.024,0,6,1,427015,2243376,28700,148641,133520,2123435,4.74
6,34,1992,medium,ibm_compatible,atlas,9.70,192.9,166.0,1.162,0,6,1,427241,2277211,28700,155797,140676,2150114,4.75
6,35,1992,medium,ibm_compatible,atlas,8.00,162.8,166.0,0.981,1,6,1,209909,1125946,28700,162953,147832,991693,2.33
6,36,1993,medium,ibm_compatible,atlas,9.80,198.7,166.0,1.197,0,6,1,479266,2637124,28700,163911,148790,2501913,5.33
6,37,1993,large,pocket_play,atlas,7.30,1248.3,1300.0,0.960,0,37,1,209785,1037936,389000,1014832,810087,412104,2.62
6,38,1994,large,pocket_play,atlas,8.40,1272.0,1300.0,0.978,0,36,1,464086,2805868,375500,1259532,1061923,1921836,5.80
6,39,1995,large,mega16,atlas,7.40,1213.8,1300.0,0.934,2,36,1,318853,1579866,559000,1478913,1184726,659953,3.19
