seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
2,1986,3655,1,0,bedroom,2,5.10,0.9,7
2,1987,2720,1,0,bedroom,5,5.24,0.8,43
2,1988,1290157,12,49525,large_studio_floor,12,6.65,22.0,23980
2,1989,6733414,12,50425,large_studio_floor,18,7.17,44.6,117787
2,1990,25125290,12,70425,large_studio_floor,24,7.47,68.7,422812
2,1991,37181600,12,84775,large_studio_floor,29,7.72,92.9,655582
2,1992,44044196,12,104925,large_studio_floor,35,7.90,100.0,786943
2,1993,53586791,12,123175,large_studio_floor,40,8.06,100.0,950120
2,1994,58881739,12,147300,large_studio_floor,42,8.13,100.0,1052102
2,1995,59917635,12,147300,large_studio_floor,43,8.14,100.0,1083887
2,1996,60826568,12,171850,large_studio_floor,44,8.17,100.0,1129649
2,1996,60826568,12,171850,large_studio_floor,44,8.17,100.0,1129649
