seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,profit,attach_pct
1,0,1985,small,microstar_64,thrift,6.40,31.3,30.0,1.044,12,9,2,1179,3221,3500,7743,-1022,0.03
1,1,1985,small,microstar_64,thrift,8.20,36.1,30.0,1.203,17,9,0,19561,108795,3000,6743,105052,0.51
1,2,1985,small,microstar_64,thrift,9.80,45.7,30.0,1.524,3,6,4,304000,1747886,3300,7243,1743943,8.00
1,3,1986,small,microstar_64,thrift,9.80,46.0,30.0,1.532,3,4,5,304000,1769946,3200,7173,1765973,8.00
1,4,1986,small,microstar_64,meridian,9.80,55.0,30.0,1.832,1,4,1,304000,1423907,6400,7562,1422745,8.00
1,5,1986,small,microstar_64,meridian,9.80,46.8,30.0,1.560,3,4,0,304000,1446268,6000,7062,1445206,8.00
1,6,1986,small,microstar_64,meridian,9.80,47.1,30.0,1.569,2,4,0,304000,1468230,6000,7062,1467168,8.00
1,7,1986,small,microstar_64,northgate,8.30,36.8,30.0,1.227,1,3,0,211563,843040,7800,5962,844878,5.57
1,8,1986,small,microstar_64,northgate,9.80,50.0,30.0,1.666,3,4,0,285426,1152119,9200,7062,1154257,7.51
1,9,1987,small,microstar_64,northgate,9.80,55.5,30.0,1.849,0,4,1,208000,851520,9800,7562,853758,5.47
1,10,1987,small,famiclone,northgate,9.80,45.4,30.0,1.514,3,4,0,381040,1428358,16500,12712,1432146,3.18
1,11,1987,small,famiclone,northgate,9.80,45.0,30.0,1.500,1,4,0,381040,1453132,16500,12712,1456920,3.18
1,12,1987,small,famiclone,atlas,9.80,46.7,30.0,1.558,1,4,0,381040,1213002,24200,12712,1224490,3.18
1,13,1987,small,famiclone,atlas,9.80,39.5,30.0,1.316,1,3,0,381040,1241377,20600,10842,1251135,3.18
1,14,1987,small,famiclone,atlas,9.20,37.4,30.0,1.246,2,3,0,381040,1266149,20600,10842,1275907,3.18
1,15,1987,small,famiclone,atlas,9.80,42.6,30.0,1.421,2,3,0,641280,2180842,20600,10842,2190600,5.34
1,16,1988,small,famiclone,atlas,9.50,39.6,30.0,1.318,2,3,0,641280,2222536,20600,10842,2232294,5.34
1,17,1988,medium,famiclone,atlas,8.50,170.9,166.0,1.030,3,6,0,641280,3306614,40200,21160,3325654,5.34
1,18,1988,medium,famiclone,atlas,7.00,156.5,166.0,0.943,0,6,1,113149,554248,43800,23030,575018,0.94
1,19,1988,medium,famiclone,atlas,8.30,166.7,166.0,1.004,3,6,0,641280,3370610,40200,21160,3389650,5.34
1,20,1988,medium,famiclone,atlas,8.80,167.3,166.0,1.008,2,6,0,641280,3388081,40200,21160,3407121,5.34
1,22,1989,medium,famiclone,atlas,8.20,158.7,166.0,0.956,3,6,0,960000,5091958,40200,21160,5110998,8.00
1,21,1988,medium,famiclone,atlas,8.10,167.6,166.0,1.009,0,6,1,960000,5088357,43800,23030,5109127,8.00
