seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
6,1986,63443,1,0,bedroom,3,7.17,7.0,800
6,1987,8063470,12,49925,large_studio_floor,9,8.87,42.4,174228
6,1988,13898251,12,49925,large_studio_floor,17,8.80,78.5,324668
6,1989,26234684,12,74925,large_studio_floor,23,8.70,100.0,540461
6,1990,51018931,12,85825,large_studio_floor,28,8.67,100.0,882417
6,1991,68157119,12,95950,large_studio_floor,34,8.68,100.0,1142940
6,1992,76314209,12,102425,large_studio_floor,39,8.65,100.0,1272825
6,1993,85017891,12,130300,large_studio_floor,45,8.60,100.0,1397319
6,1994,91410757,12,142625,large_studio_floor,47,8.62,100.0,1502751
6,1995,92542157,12,156350,large_studio_floor,48,8.65,100.0,1547816
6,1996,93628036,12,162275,large_studio_floor,49,8.67,100.0,1594907
6,1996,93628036,12,162275,large_studio_floor,49,8.67,100.0,1594907
