seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand
7,0,1985,small,microstar_64,thrift,4.50,22.0,28.0,0.787,16,10,1,100,0,3500,7773,0,-4273,0.00,1,0.994
7,1,1985,small,microstar_64,thrift,4.00,19.9,28.0,0.712,14,9,0,73,0,2900,6506,0,-3606,0.00,1,1.402
7,2,1985,small,microstar_64,thrift,4.20,21.5,28.0,0.767,13,8,0,76,0,2800,6228,0,-3428,0.00,1,1.154
7,3,1986,small,microstar_64,thrift,5.30,24.8,28.0,0.887,17,9,0,448,0,3100,6945,0,-3845,0.01,1,1.090
7,4,1986,small,microstar_64,thrift,6.40,29.4,28.0,1.049,18,7,1,1337,4833,2800,6171,0,1462,0.04,1,0.882
7,5,1986,small,microstar_64,thrift,6.80,28.8,28.0,1.030,3,7,2,2835,13227,3000,6686,0,9541,0.07,1,0.802
7,6,1987,small,microstar_64,thrift,7.70,33.3,28.0,1.188,3,8,5,3272,14797,4000,8949,0,9848,0.09,1,0.600
7,7,1987,small,famiclone,thrift,7.90,32.3,28.0,1.153,5,6,5,15860,76138,6400,14189,0,68349,0.13,1,1.057
7,8,1987,small,famiclone,thrift,8.30,36.1,28.0,1.291,4,7,5,29513,147862,6800,15064,0,139598,0.25,2,0.788
7,9,1988,small,famiclone,meridian,8.00,52.3,28.0,1.869,3,4,2,270617,1129080,8300,18099,8308,1119281,2.26,2,0.907
7,10,1988,small,famiclone,meridian,8.60,54.2,28.0,1.934,2,4,2,641110,2710271,8500,24742,14798,2694029,5.34,3,1.270
7,13,1988,small,famiclone,meridian,6.90,30.3,28.0,1.083,3,7,3,3098,1430,11900,38380,24348,-25050,0.03,5,0.380
7,11,1988,medium,famiclone,meridian,6.10,767.5,983.0,0.781,3,7,3,400527,2493102,25600,129264,99129,2389438,3.34,3,1.093
7,15,1989,small,famiclone,meridian,8.90,43.6,28.0,1.558,2,4,1,85469,363503,7600,28549,19665,342554,0.71,5,0.269
7,12,1988,medium,famiclone,meridian,5.90,703.3,983.0,0.715,0,7,1,153698,943068,25500,147293,117297,821275,1.28,4,0.926
7,17,1989,small,famiclone,northgate,8.80,47.0,28.0,1.677,3,4,0,158636,558798,11100,29037,20490,540861,1.32,6,0.270
7,14,1988,medium,famiclone,meridian,6.70,831.0,983.0,0.845,0,7,1,410342,2577262,25000,139422,110025,2462840,3.42,4,0.845
7,20,1989,medium,famiclone,northgate,4.40,608.0,983.0,0.618,3,8,0,9973,23870,30400,74502,51144,-20232,0.08,8,1.182
7,16,1989,medium,famiclone,northgate,6.10,737.6,983.0,0.750,1,7,1,430267,2223254,38100,131722,102393,2129632,3.59,5,0.965
7,18,1989,small,famiclone,northgate,8.60,61.9,28.0,2.210,2,3,0,351077,1268262,10500,28871,20800,1249891,2.93,7,0.601
7,19,1989,medium,famiclone,northgate,6.90,831.6,983.0,0.846,0,6,1,167069,869995,34000,117903,91714,786092,1.39,8,0.424
7,21,1989,medium,famiclone,northgate,6.10,784.9,983.0,0.798,0,7,1,169982,881691,39200,142890,112725,778001,1.42,9,0.356
7,22,1989,medium,famiclone,northgate,5.90,681.4,983.0,0.693,0,8,1,188369,988712,34300,95745,69332,927267,1.57,8,0.785
7,23,1989,medium,famiclone,northgate,6.70,842.0,983.0,0.857,0,7,1,213141,1121334,38100,128500,99171,1030934,1.78,9,0.355
7,24,1989,medium,famiclone,northgate,5.40,694.0,983.0,0.706,0,7,1,159642,840160,32500,94172,69167,778488,1.33,8,1.096
7,27,1990,medium,famiclone,northgate,5.80,721.0,983.0,0.734,1,7,1,62043,307771,34400,99529,73075,242642,0.52,7,0.614
7,25,1989,medium,famiclone,northgate,7.10,881.0,983.0,0.896,0,6,1,240027,1278245,33300,113992,88379,1197553,2.00,9,0.394
7,26,1990,medium,famiclone,northgate,6.20,875.4,983.0,0.891,2,6,0,120217,630749,30400,99706,76328,561443,1.00,6,0.802
7,29,1990,medium,famiclone,northgate,6.50,792.7,983.0,0.806,1,7,0,80984,417233,33000,102062,76704,348171,0.67,9,0.218
7,28,1990,medium,famiclone,northgate,7.20,927.5,983.0,0.944,0,6,1,176960,944937,32200,100629,75832,876508,1.47,8,0.591
7,30,1990,medium,famiclone,northgate,8.00,1004.8,983.0,1.022,2,7,0,322531,1767269,33000,101190,75832,1699079,2.69,9,0.554
