seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
1,1986,1511,1,0,bedroom,1,0,2,4.10,0.8,0
1,1987,1902,1,0,bedroom,1,0,6,4.58,0.9,10
1,1988,6280,1,0,bedroom,1,0,7,4.79,2.2,24
1,1989,4600,1,0,bedroom,1,0,7,4.79,2.2,24
1,1990,10235,1,0,bedroom,1,0,8,4.91,3.4,79
1,1991,5499968,16,80350,studio_building,2,45220,13,6.14,21.6,92014
1,1992,6443044,20,97300,campus,2,135300,23,6.56,44.2,156072
1,1993,15775938,20,97300,campus,2,139700,34,6.76,69.9,240564
1,1994,20108099,20,139000,campus,2,144100,37,6.83,79.0,303619
1,1995,24020945,20,174050,campus,2,148500,40,6.89,88.1,351291
1,1996,24368829,20,194350,campus,2,152900,42,6.91,92.8,380857
1,1996,24368829,20,194350,campus,2,152900,42,6.91,92.8,380857
