seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
1,0,1985,small,microstar_64,thrift,4.60,21.3,28.0,0.762,20,10,1,75,0,3500,7773,0,-4273,0.00,1,0.978,1,2
1,1,1985,small,microstar_64,thrift,3.60,19.1,28.0,0.682,25,9,0,72,0,3000,6743,0,-3743,0.00,1,1.023,1,2
1,2,1986,small,microstar_64,thrift,4.00,21.3,28.0,0.762,17,8,0,73,0,2800,6243,0,-3443,0.00,1,1.573,1,2
1,3,1986,small,microstar_64,thrift,4.50,23.6,28.0,0.842,25,8,0,76,0,2900,6415,0,-3515,0.00,1,1.096,1,2
1,4,1986,small,microstar_64,thrift,5.70,26.2,28.0,0.937,17,8,0,308,0,2800,6171,0,-3371,0.01,1,1.090,1,2
1,5,1986,small,microstar_64,thrift,4.80,24.7,28.0,0.883,16,7,0,77,0,2500,5656,0,-3156,0.00,1,1.053,1,2
1,6,1988,small,famiclone,thrift,4.00,23.2,28.0,0.828,23,7,0,75,0,5100,11254,0,-6154,0.00,1,1.465,1,2
1,7,1990,small,famiclone,thrift,5.00,26.5,28.0,0.947,10,7,0,162,0,5100,11331,0,-6231,0.00,1,1.319,1,2
1,8,1992,small,ibm_compatible,thrift,6.10,27.6,28.0,0.984,10,7,0,1343,4288,3400,7470,0,218,0.01,1,1.600,1,2
1,9,1992,small,ibm_compatible,thrift,6.80,31.1,28.0,1.111,16,7,0,2260,9552,3400,7470,0,5482,0.03,1,1.165,1,2
1,10,1992,small,ibm_compatible,thrift,6.70,31.2,28.0,1.114,13,7,5,776,0,5000,11176,0,-6176,0.01,1,1.272,1,2
1,11,1993,small,ibm_compatible,thrift,6.70,30.0,28.0,1.072,12,7,0,1529,5401,3400,7605,0,1196,0.02,1,1.016,1,2
1,12,1993,small,pocket_play,thrift,4.40,25.1,28.0,0.897,15,7,0,78,0,5300,11827,0,-6527,0.00,1,1.436,1,2
1,13,1995,small,ibm_compatible,thrift,5.90,27.9,28.0,0.998,13,6,0,977,2235,3400,7476,0,-1841,0.01,1,1.600,1,2
1,14,1995,small,ibm_compatible,thrift,7.50,35.7,28.0,1.273,4,7,5,13005,69976,5200,11560,0,63616,0.14,1,1.537,1,2
