seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
1,1986,1511,1,0,bedroom,1,0,2,4.10,0.8,0
1,1987,1639,1,0,bedroom,1,0,6,4.53,0.8,2
1,1988,4509,1,0,bedroom,1,0,6,4.53,1.4,2
1,1989,5825,1,0,bedroom,1,0,7,4.46,1.3,1
1,1990,4145,1,0,bedroom,1,0,7,4.46,1.3,1
1,1991,5934,1,0,bedroom,1,0,8,4.53,1.7,1
1,1992,4254,1,0,bedroom,1,0,8,4.53,1.7,1
1,1993,3946,1,0,bedroom,1,0,11,5.07,4.7,126
1,1994,6687,1,0,bedroom,1,0,13,5.15,5.2,174
1,1995,5007,1,0,bedroom,1,0,13,5.15,5.2,174
1,1996,61369,1,0,shared_workspace,1,1182,15,5.35,8.4,827
1,1996,61369,1,0,shared_workspace,1,1182,15,5.35,8.4,827
