seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
1,0,1985,small,microstar_64,thrift,4.60,21.3,28.0,0.762,20,10,1,75,0,3500,7773,0,-4273,0.00,1,0.978,1,2
1,1,1985,small,microstar_64,thrift,3.60,19.1,28.0,0.682,25,9,0,72,0,3000,6743,0,-3743,0.00,1,1.023,1,2
1,2,1986,small,microstar_64,thrift,4.00,21.3,28.0,0.762,17,8,0,73,0,2800,6243,0,-3443,0.00,1,1.573,1,2
1,3,1986,small,microstar_64,thrift,4.50,23.6,28.0,0.842,25,8,0,76,0,2900,6415,0,-3515,0.00,1,1.096,1,2
1,4,1986,small,microstar_64,thrift,5.70,26.2,28.0,0.937,17,8,0,308,0,2800,6171,0,-3371,0.01,1,1.090,1,2
1,5,1986,small,microstar_64,thrift,4.80,24.7,28.0,0.883,16,7,0,77,0,2500,5656,0,-3156,0.00,1,1.053,1,2
1,6,1988,small,famiclone,thrift,4.00,23.2,28.0,0.828,23,7,0,75,0,5100,11254,0,-6154,0.00,1,1.465,1,2
1,7,1990,small,famiclone,thrift,5.00,26.5,28.0,0.947,10,7,0,162,0,5100,11331,0,-6231,0.00,1,1.319,1,2
1,8,1992,small,ibm_compatible,thrift,6.10,27.6,28.0,0.984,10,7,0,1343,4288,3400,7470,0,218,0.01,1,1.600,1,2
1,9,1992,small,ibm_compatible,thrift,6.80,31.1,28.0,1.111,16,7,0,2260,9552,3400,7470,0,5482,0.03,1,1.165,1,2
1,10,1992,small,ibm_compatible,thrift,6.70,31.2,28.0,1.114,13,7,5,776,0,5000,11176,0,-6176,0.01,1,1.272,1,2
1,11,1993,small,ibm_compatible,thrift,6.70,30.0,28.0,1.072,12,7,0,1529,5401,3400,7605,0,1196,0.02,1,1.016,1,2
1,12,1993,small,pocket_play,thrift,4.40,25.1,28.0,0.897,15,7,0,78,0,5300,11827,0,-6527,0.00,1,1.436,1,2
1,13,1995,small,ibm_compatible,thrift,5.90,27.9,28.0,0.998,13,6,0,977,2235,3400,7476,0,-1841,0.01,1,1.600,1,2
1,14,1995,small,ibm_compatible,thrift,7.50,35.7,28.0,1.273,4,7,5,13961,75502,5200,11560,0,69142,0.16,1,1.537,1,2
1,15,1996,small,ibm_compatible,thrift,7.70,36.1,28.0,1.288,9,7,5,23869,133061,5400,11956,0,126505,0.27,2,1.509,1,2
1,16,1996,small,ibm_compatible,thrift,8.40,45.3,28.0,1.618,3,4,1,656302,3818666,3000,13648,6960,3808018,7.29,2,1.525,2,2
1,17,1996,small,ibm_compatible,meridian,8.60,42.8,28.0,1.530,2,4,1,430143,1994932,6200,26184,18933,1974948,4.78,3,1.364,7,2
1,18,1996,medium,ibm_compatible,meridian,6.00,722.5,983.0,0.735,1,7,1,114143,764964,19100,129470,107055,654594,1.27,3,1.157,14,5
1,19,1996,small,ibm_compatible,meridian,8.60,39.0,28.0,1.394,2,5,3,114238,528093,7900,32485,23208,503508,1.27,4,1.281,2,2
1,20,1996,small,ibm_compatible,meridian,8.50,40.8,28.0,1.455,2,3,1,153420,719529,5100,20379,14364,704250,1.70,4,1.297,2,2
1,21,1997,small,ibm_compatible,meridian,8.30,42.3,28.0,1.510,3,3,1,55498,258604,5200,20437,14364,243367,0.62,5,1.182,2,2
1,22,1997,small,ibm_compatible,meridian,8.10,46.9,28.0,1.675,2,3,2,51415,239945,5900,23731,16758,222114,0.57,5,1.081,2,2
1,23,1997,small,ibm_compatible,meridian,8.20,40.2,28.0,1.436,3,3,0,43402,204069,4600,17369,11970,191300,0.48,6,1.077,2,2
1,25,1997,small,ibm_compatible,northgate,8.70,47.9,28.0,1.710,3,3,2,86385,333963,9100,25410,18437,317653,0.96,6,0.938,3,2
1,26,1997,small,ibm_compatible,northgate,8.30,48.2,28.0,1.720,2,2,1,76845,300055,7600,26184,20365,281471,0.85,5,1.016,3,2
1,24,1997,large,ibm_compatible,meridian,7.30,8606.0,8387.0,1.026,1,39,3,432886,3988544,197500,960677,728334,3225367,4.81,5,0.684,14,10
1,27,1997,small,ibm_compatible,northgate,8.50,51.9,28.0,1.852,3,2,0,196575,786052,6500,21324,16292,771228,2.18,6,1.065,3,2
1,28,1997,small,ibm_compatible,northgate,8.70,52.8,28.0,1.886,2,2,0,481161,1948501,6000,16822,12219,1937679,5.35,6,0.995,3,2
1,30,1998,small,ibm_compatible,northgate,8.50,47.6,28.0,1.701,3,2,0,82714,335140,6600,21389,16292,320351,0.92,7,0.875,3,2
1,29,1997,small,ibm_compatible,northgate,9.20,46.7,28.0,1.667,1,3,1,468919,1911297,8600,31026,24438,1888871,5.21,6,1.051,3,2
1,32,1998,small,playbox32,northgate,8.50,45.8,28.0,1.635,1,2,1,66073,208805,26800,49562,28960,186043,0.37,7,0.983,3,2
1,31,1998,small,playbox32,northgate,8.80,41.9,28.0,1.495,2,2,0,346165,1201277,23300,39405,21449,1185172,1.92,7,1.150,3,2
1,33,1998,large,ibm_compatible,northgate,6.90,7898.6,8387.0,0.942,1,40,1,87471,417691,321500,1064516,817219,-325325,0.97,8,0.670,17,10
1,37,1998,small,playbox32,atlas,8.00,43.7,28.0,1.559,1,2,0,48909,110815,33000,43999,26655,99816,0.27,8,0.890,4,2
1,34,1998,small,playbox32,northgate,9.20,50.2,28.0,1.793,3,2,0,611952,2188725,23800,45501,27219,2167024,3.40,8,1.115,4,2
