seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
1,1986,1511,1,0,bedroom,1,0,2,4.10,0.8,0
1,1987,1639,1,0,bedroom,1,0,6,4.53,0.8,2
1,1988,4509,1,0,bedroom,1,0,6,4.53,1.4,2
1,1989,5825,1,0,bedroom,1,0,7,4.46,1.3,1
1,1990,4145,1,0,bedroom,1,0,7,4.46,1.3,1
1,1991,5934,1,0,bedroom,1,0,8,4.53,1.7,1
1,1992,4254,1,0,bedroom,1,0,8,4.53,1.7,1
1,1993,3946,1,0,bedroom,1,0,11,5.07,4.7,126
1,1994,6687,1,0,bedroom,1,0,13,5.15,5.2,174
1,1995,5007,1,0,bedroom,1,0,13,5.15,5.2,174
1,1996,61369,1,0,shared_workspace,1,1182,15,5.35,8.4,827
1,1997,4798755,16,83775,studio_building,2,54340,21,6.10,21.1,84717
1,1998,5423682,20,119200,campus,2,161700,30,6.78,44.3,152073
1,1999,14692890,20,156325,campus,2,166100,41,7.25,73.5,376773
1,2000,35274337,20,170575,campus,2,170500,49,7.37,95.3,685717
1,2001,47484667,20,188975,campus,2,176550,55,7.36,100.0,789427
1,2002,61810262,20,216075,campus,2,182600,62,7.41,100.0,902294
1,2003,95584477,20,223950,campus,2,188650,68,7.44,100.0,1121416
1,2004,114092930,20,258625,campus,2,194700,74,7.45,100.0,1249319
1,2005,117197483,20,309100,campus,2,200750,76,7.43,100.0,1279049
1,2006,144070477,20,329300,campus,2,206800,78,7.44,100.0,1397845
1,2007,157023889,20,367200,campus,2,212850,80,7.45,100.0,1469840
1,2008,186085578,20,391150,campus,2,218900,82,7.46,100.0,1566547
1,2009,205271015,20,391150,campus,2,224950,84,7.45,100.0,1633476
1,2010,231998657,20,424075,campus,2,231000,86,7.44,100.0,1707526
1,2011,256606297,20,479450,campus,2,238700,88,7.45,100.0,1801678
1,2011,256606297,20,479450,campus,2,238700,88,7.45,100.0,1801678
