seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
4,1986,1376,1,0,bedroom,1,0,3,4.77,0.9,2
4,1987,5817,1,0,bedroom,1,0,6,5.77,4.8,109
4,1988,3378,1,0,bedroom,1,0,7,5.66,4.4,140
4,1989,3583,1,0,bedroom,1,0,8,5.48,4.1,140
4,1990,6483,1,0,bedroom,1,0,9,5.48,4.9,146
4,1991,4803,1,0,bedroom,1,0,9,5.48,4.9,146
4,1992,6569,1,0,bedroom,1,0,10,5.58,6.6,184
4,1993,28336,1,0,bedroom,1,0,13,5.87,11.1,507
4,1994,3762976,16,73100,studio_building,2,49780,17,6.35,21.2,49405
4,1995,4707429,16,75650,studio_building,2,51300,21,6.40,26.3,67983
4,1996,3929240,16,75650,campus,2,152900,28,6.89,44.1,159820
4,1996,3929240,16,75650,campus,2,152900,28,6.89,44.1,159820
