seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
2,0,1985,small,microstar_64,thrift,4.60,20.8,28.0,0.743,16,9,2,190,0,3500,7743,0,-4243,0.01,1,1.090,1,2
2,1,1985,small,microstar_64,thrift,4.80,24.4,28.0,0.871,22,9,0,361,0,3000,6743,0,-3743,0.01,1,1.024,1,2
2,2,1985,small,microstar_64,thrift,5.20,24.5,28.0,0.876,20,9,0,496,0,3000,6743,0,-3743,0.01,1,0.985,1,2
2,3,1986,small,microstar_64,thrift,5.80,27.9,28.0,0.996,22,8,0,1810,7442,2900,6415,0,3927,0.05,1,1.048,1,2
2,4,1986,small,microstar_64,thrift,8.50,35.7,28.0,1.276,3,8,5,165851,944235,3900,8746,0,939389,4.36,1,0.815,1,2
2,5,1986,small,microstar_64,thrift,8.20,44.5,28.0,1.589,3,5,3,93908,536692,3000,25598,18905,514094,2.47,2,0.829,8,2
2,6,1987,small,famiclone,thrift,8.70,46.3,28.0,1.652,1,3,1,131335,677526,5000,52306,41221,630220,1.09,3,1.022,12,2
2,7,1987,small,famiclone,thrift,8.80,48.8,28.0,1.744,0,3,1,238130,1238933,5500,65891,53586,1178542,1.98,4,0.961,12,2
2,11,1987,small,famiclone,meridian,6.90,31.9,28.0,1.141,4,5,5,4869,9049,11700,47975,34206,-27226,0.04,5,0.638,3,2
2,9,1987,small,famiclone,meridian,8.20,54.4,28.0,1.944,3,3,0,45441,181175,10100,62742,50892,128533,0.38,5,0.706,15,2
2,8,1987,small,famiclone,thrift,9.20,51.4,28.0,1.837,2,3,1,206808,1081438,5500,65891,53586,1021047,1.72,4,0.827,12,2
2,10,1987,small,famiclone,meridian,8.60,43.1,28.0,1.539,3,3,0,139542,580301,10500,69354,57030,521447,1.16,4,0.803,14,2
2,12,1987,small,famiclone,meridian,8.70,52.6,28.0,1.877,0,3,1,66363,272779,10900,77637,64872,206042,0.55,6,0.502,13,2
2,13,1987,small,famiclone,meridian,8.20,43.3,28.0,1.548,3,3,0,97457,409724,9700,56059,44655,363365,0.81,6,0.736,12,2
2,14,1987,small,famiclone,meridian,8.80,40.2,28.0,1.435,2,4,1,131807,562784,7700,37297,28269,533187,1.10,7,0.505,4,2
2,15,1988,small,famiclone,meridian,8.80,45.7,28.0,1.631,1,3,1,340962,1478658,7300,35637,27060,1450321,2.84,5,0.946,5,2
2,16,1988,small,famiclone,northgate,8.50,54.7,28.0,1.955,0,3,1,250338,880030,15700,63308,51264,832422,2.09,6,0.623,11,2
2,18,1988,medium,famiclone,northgate,7.30,911.6,983.0,0.927,0,7,1,184717,948474,34000,92661,66510,889813,1.54,7,0.216,10,5
2,17,1988,medium,famiclone,northgate,6.90,831.0,983.0,0.845,2,7,1,311851,1619290,29700,80781,57932,1568209,2.60,6,0.538,6,5
2,19,1988,medium,famiclone,northgate,6.00,810.0,983.0,0.824,0,6,1,58189,283915,27900,80148,58701,231667,0.48,7,0.525,7,5
2,20,1988,medium,famiclone,northgate,5.80,829.7,983.0,0.844,2,7,0,86133,431719,30800,79741,56085,382778,0.72,7,0.193,11,5
2,21,1988,medium,famiclone,northgate,6.60,849.0,983.0,0.864,0,7,1,194081,1010565,32900,101803,76520,941662,1.62,6,0.476,9,5
2,22,1988,medium,famiclone,northgate,7.50,936.2,983.0,0.952,1,7,1,472784,2518340,35100,110043,83079,2443397,3.94,7,0.592,11,5
