seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
2,1986,1091,1,0,bedroom,1,0,3,4.87,0.3,0
2,1987,628296,8,21150,professional_studio,1,5088,6,6.18,6.2,8741
2,1988,3492395,16,60475,studio_building,2,41420,15,7.55,28.5,78237
2,1989,8918106,20,87975,campus,2,123200,25,7.43,49.5,184482
2,1990,57341704,20,96100,campus,2,126500,35,7.49,79.7,561008
2,1991,82682248,20,121025,campus,2,130900,45,7.47,100.0,724861
2,1992,99438604,20,155575,campus,2,135300,55,7.50,100.0,838330
2,1993,116191459,20,175850,campus,2,139700,65,7.49,100.0,926605
2,1994,119173201,20,246950,campus,2,144100,69,7.49,100.0,964601
2,1995,123909980,20,253825,campus,2,148500,71,7.49,100.0,997178
2,1996,124658047,20,260550,campus,2,152900,73,7.50,100.0,1021492
2,1997,129188860,20,282450,campus,2,157300,75,7.51,100.0,1057335
2,1998,134391909,20,302375,campus,2,161700,77,7.50,100.0,1086333
2,1999,137557738,20,319375,campus,2,166100,79,7.52,100.0,1121815
2,2000,146531814,20,319375,campus,2,170500,81,7.53,100.0,1185178
2,2001,151700650,20,329050,campus,2,176550,83,7.54,100.0,1235827
2,2002,151314794,20,367100,campus,2,182600,85,7.54,100.0,1262056
2,2003,166035634,20,378250,campus,2,188650,88,7.56,100.0,1351495
2,2004,179525258,20,385625,campus,2,194700,91,7.56,100.0,1425843
2,2005,207500690,20,385625,campus,2,200750,93,7.56,100.0,1531662
2,2006,235422699,20,385625,campus,2,206800,95,7.58,100.0,1667855
2,2007,249729016,20,385625,campus,2,212850,97,7.59,100.0,1745929
2,2008,278780669,20,385625,campus,2,218900,99,7.60,100.0,1853940
2,2009,312019751,20,385625,campus,2,224950,101,7.61,100.0,1952207
2,2010,341698430,20,385625,campus,2,231000,103,7.60,100.0,2024246
2,2011,366976438,20,385625,campus,2,238700,105,7.60,100.0,2090343
2,2012,395135389,20,401075,campus,2,246400,107,7.59,100.0,2168832
2,2013,423411901,20,401075,campus,2,254100,110,7.58,100.0,2252454
2,2014,438500344,20,422250,campus,2,261800,113,7.57,100.0,2308564
2,2015,477734223,20,437000,campus,2,269500,115,7.58,100.0,2436503
2,2016,498824922,20,471750,campus,2,277200,117,7.57,100.0,2519182
2,2017,539344007,20,589300,campus,2,284900,119,7.58,100.0,2673027
2,2018,571850971,20,612625,campus,2,292600,121,7.58,100.0,2771977
2,2019,600568428,20,612625,campus,2,300300,123,7.58,100.0,2877144
2,2020,623556653,20,612625,campus,2,308000,125,7.58,100.0,2961608
2,2021,645364929,20,633975,campus,2,316250,127,7.58,100.0,3027685
2,2022,666098623,20,633975,campus,2,324500,130,7.59,100.0,3131353
2,2023,693511038,20,633975,campus,2,332750,132,7.59,100.0,3201263
2,2024,714273147,20,661175,campus,2,341000,135,7.58,100.0,3268997
2,2025,736902553,20,763050,campus,2,349250,137,7.58,100.0,3337757
2,2026,751502063,20,763050,campus,2,357500,139,7.58,100.0,3404543
2,2027,764579696,20,795350,campus,2,365750,141,7.58,100.0,3463865
2,2028,777241475,20,815125,campus,2,374000,143,7.58,100.0,3517877
2,2029,789653573,20,815125,campus,2,382250,145,7.57,100.0,3563577
2,2030,773231059,20,815125,campus,2,390500,147,7.58,100.0,3563590
2,2031,773180952,20,815125,campus,2,399850,149,7.57,100.0,3592627
2,2032,793811307,20,815125,campus,2,409200,152,7.56,100.0,3629354
2,2033,815747361,20,815125,campus,2,418550,155,7.55,100.0,3670089
2,2034,841538967,20,815125,campus,2,427900,157,7.55,100.0,3752864
2,2035,875591726,20,815125,campus,2,437250,159,7.56,100.0,3858420
2,2036,912391719,20,815125,campus,2,446600,161,7.57,100.0,3989171
2,2037,954529817,20,815125,campus,2,455950,163,7.57,100.0,4091065
2,2038,980348377,20,815125,campus,2,465300,165,7.57,100.0,4155648
2,2039,991305436,20,815125,campus,2,474650,167,7.57,100.0,4220745
2,2040,994392548,20,815125,campus,2,484000,169,7.57,100.0,4256965
2,2041,998255673,20,815125,campus,2,493900,171,7.57,100.0,4284795
2,2042,1017021048,20,815125,campus,2,503800,174,7.56,100.0,4332475
2,2043,1040549043,20,847625,campus,2,513700,176,7.56,100.0,4423291
2,2044,1084123348,20,847625,campus,2,523600,179,7.56,100.0,4527714
2,2045,1127834684,20,847625,campus,2,533500,181,7.55,100.0,4610821
2,2046,1189778831,20,891225,campus,2,543400,183,7.55,100.0,4714751
2,2047,1217550370,20,891225,campus,2,553300,185,7.55,100.0,4777133
2,2048,1228021846,20,922425,campus,2,563200,187,7.55,100.0,4836323
2,2049,1221293622,20,995350,campus,2,573100,189,7.55,100.0,4869803
2,2050,1244937755,20,995350,campus,2,583000,191,7.54,100.0,4935402
2,2051,1293450647,20,1238825,campus,2,592900,193,7.55,100.0,5066740
2,2051,1293450647,20,1238825,campus,2,592900,193,7.55,100.0,5066740
