seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
4,0,1985,small,microstar_64,thrift,4.00,20.5,28.0,0.733,17,10,1,73,0,3500,7773,0,-4273,0.00,1,0.949,1,2
4,1,1985,small,microstar_64,thrift,5.30,23.0,28.0,0.823,18,10,0,225,0,3300,7273,0,-3973,0.01,1,0.869,1,2
4,2,1986,small,microstar_64,thrift,4.90,21.8,28.0,0.779,13,9,0,76,0,2900,6536,0,-3636,0.00,1,0.492,1,2
4,3,1986,small,microstar_64,thrift,6.30,28.2,28.0,1.008,13,7,0,2952,14136,2700,5900,0,10936,0.08,1,1.271,1,2
4,4,1986,small,microstar_64,thrift,7.50,29.7,28.0,1.060,1,7,3,11861,64545,3200,7201,0,60544,0.31,1,0.753,1,2
4,5,1986,small,microstar_64,thrift,7.80,32.0,28.0,1.144,3,7,5,11124,60060,3700,8231,0,55529,0.29,2,0.813,1,2
4,6,1987,small,microstar_64,thrift,8.00,45.5,28.0,1.624,2,4,2,18114,101843,2400,13469,8155,90774,0.48,2,0.780,2,2
4,7,1987,small,famiclone,thrift,8.40,46.6,28.0,1.663,3,4,3,151605,784067,4600,20778,10485,767889,1.26,2,1.359,2,2
4,8,1987,small,famiclone,thrift,8.60,45.6,28.0,1.630,3,3,2,45042,231495,4000,28600,19605,206895,0.38,3,1.039,4,2
4,9,1987,small,famiclone,thrift,8.70,49.0,28.0,1.751,3,2,1,74405,387711,3400,29113,21653,361998,0.62,4,1.187,8,2
4,12,1987,small,famiclone,meridian,7.80,45.6,28.0,1.628,2,3,0,9660,31470,9700,61134,49730,-19964,0.08,5,0.828,12,2
4,10,1987,small,famiclone,meridian,8.60,46.9,28.0,1.675,0,3,1,133242,551660,8700,51892,41683,508468,1.11,4,1.029,12,2
4,11,1987,small,famiclone,meridian,8.60,55.8,28.0,1.992,2,3,0,42520,170319,9700,61134,49730,118885,0.35,5,0.787,12,2
4,13,1988,small,famiclone,meridian,8.80,42.9,28.0,1.531,3,3,0,98933,413802,9900,61351,49730,362351,0.82,5,0.926,12,2
4,15,1988,medium,famiclone,meridian,8.70,1090.2,983.0,1.109,0,7,1,640922,4047430,23600,117289,89514,3953741,5.34,3,0.863,12,5
4,14,1988,medium,famiclone,meridian,6.70,927.9,983.0,0.944,0,7,1,88469,535984,23600,117289,89514,442295,0.74,5,0.706,12,5
4,17,1988,small,famiclone,northgate,8.10,35.1,28.0,1.253,3,5,3,20130,56464,15900,36112,23850,36252,0.17,4,0.447,2,2
4,19,1989,medium,famiclone,northgate,8.10,1071.6,983.0,1.090,0,7,1,959470,5106919,40400,158288,127206,4989031,8.00,4,0.900,17,5
4,16,1988,medium,famiclone,northgate,7.20,962.1,983.0,0.979,0,6,1,597469,3093729,33900,116969,90904,3010660,4.98,3,0.830,15,5
4,21,1989,small,famiclone,northgate,7.80,37.6,28.0,1.343,2,3,0,39906,138193,10500,28871,20800,119822,0.33,6,1.095,4,2
4,20,1989,small,famiclone,northgate,8.70,45.1,28.0,1.611,3,5,5,137636,490852,18000,52309,38436,456543,1.15,5,0.306,3,2
4,18,1988,medium,famiclone,northgate,8.10,994.8,983.0,1.012,0,7,1,745955,3920650,38200,133239,103842,3825611,6.22,5,0.660,14,5
4,23,1989,small,famiclone,northgate,8.60,43.9,28.0,1.568,0,4,1,118071,430872,13500,40761,30401,403611,0.98,7,0.822,5,2
4,25,1989,medium,famiclone,northgate,5.30,638.7,983.0,0.650,0,8,1,20193,78342,34400,95031,68587,17711,0.17,6,0.809,6,5
4,22,1989,medium,famiclone,northgate,6.60,884.9,983.0,0.900,0,7,1,353155,1899390,41400,168497,136665,1772293,2.94,6,0.758,16,5
4,26,1989,medium,famiclone,northgate,8.30,1093.8,983.0,1.113,0,7,1,656715,3624593,39200,139668,109503,3524125,5.47,7,0.787,14,5
4,24,1989,medium,famiclone,northgate,6.50,920.3,983.0,0.936,3,6,0,242336,1314284,33400,128960,103306,1218724,2.02,8,0.497,15,5
4,29,1990,medium,famiclone,atlas,5.20,695.2,983.0,0.707,0,7,1,24906,64508,48000,108342,83094,4166,0.21,7,0.596,8,5
4,27,1989,medium,famiclone,northgate,5.90,712.8,983.0,0.725,0,7,1,124796,672579,31400,99103,74932,604876,1.04,6,0.371,7,5
4,28,1989,medium,famiclone,northgate,8.00,1010.2,983.0,1.028,0,7,1,551114,3075654,38100,136803,107474,2976951,4.59,7,0.657,13,5
4,30,1990,medium,famiclone,northgate,8.50,1122.9,983.0,1.142,0,7,1,377289,2112463,37600,131103,102186,2018960,3.14,7,0.214,12,5
4,31,1990,medium,famiclone,atlas,6.70,764.4,983.0,0.778,0,7,1,309169,1364841,50300,116847,90357,1298294,2.58,6,0.837,9,5
4,32,1990,medium,famiclone,atlas,7.10,983.6,983.0,1.001,0,7,1,254817,1119238,53900,132301,103935,1040837,2.12,6,0.436,11,5
4,33,1990,medium,famiclone,atlas,6.90,844.9,983.0,0.860,1,6,0,374016,1692486,42700,96410,73926,1638776,3.12,7,0.804,10,5
