seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
6,1986,1689,1,0,bedroom,1,0,2,4.30,0.8,0
6,1987,1184,1,0,bedroom,1,0,6,5.03,1.5,11
6,1988,6209,1,0,bedroom,1,0,8,5.28,3.5,42
6,1989,4529,1,0,bedroom,1,0,8,5.28,3.5,42
6,1990,5950,1,0,bedroom,1,0,9,5.31,4.6,68
6,1991,45162,1,0,bedroom,1,0,12,5.53,6.4,622
6,1992,2820941,16,68825,studio_building,2,46740,17,6.13,15.8,58304
6,1993,5707479,16,68825,studio_building,2,48260,29,6.63,41.2,85673
6,1994,12803898,20,94175,campus,2,144100,36,6.82,61.7,202251
6,1995,16373932,20,146575,campus,2,148500,39,6.86,70.2,262615
6,1996,16183898,20,169775,campus,2,152900,41,6.90,77.2,290582
6,1997,21685702,20,198100,campus,2,157300,44,6.91,84.9,335331
6,1997,21685702,20,198100,campus,2,157300,44,6.91,84.9,335331
