seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand
1,0,1985,small,microstar_64,thrift,6.40,34.1,30.0,1.137,20,10,1,1367,4291,3500,7773,0,18,0.04,1,0.978
1,1,1985,small,microstar_64,thrift,4.80,29.7,30.0,0.991,16,9,1,273,0,3300,7243,0,-3943,0.01,1,1.074
1,2,1985,small,microstar_64,thrift,6.00,34.8,30.0,1.162,20,9,0,1697,6678,3000,6743,0,2935,0.04,1,1.512
1,3,1986,small,microstar_64,thrift,8.40,42.8,30.0,1.428,12,8,5,105130,597084,3900,8746,0,592238,2.77,1,1.181
1,4,1986,small,microstar_64,thrift,8.30,37.6,30.0,1.253,2,4,2,54115,309489,2500,17027,11529,294962,1.42,2,0.805
1,5,1986,small,microstar_64,thrift,7.80,35.4,30.0,1.179,3,3,1,34343,197412,2200,32685,27808,166927,0.90,3,0.985
1,8,1987,small,famiclone,meridian,6.70,33.9,30.0,1.131,3,3,0,5270,13656,8800,60725,50371,-38269,0.04,5,0.894
1,6,1986,small,microstar_64,meridian,8.10,38.6,30.0,1.287,3,3,1,54143,247219,4600,49686,44220,202133,1.42,4,0.760
1,7,1986,small,microstar_64,meridian,7.90,40.2,30.0,1.340,1,3,1,24008,107807,4900,57586,51796,55121,0.63,4,0.745
1,9,1987,small,famiclone,meridian,8.40,41.9,30.0,1.396,3,3,1,36111,144835,9700,75733,64350,78802,0.30,4,1.013
1,10,1987,small,famiclone,meridian,9.10,43.0,30.0,1.434,1,3,1,338037,1451789,9700,75733,64350,1385756,2.82,3,1.007
1,11,1987,small,famiclone,northgate,8.50,41.8,30.0,1.392,2,3,1,182805,636626,15600,87507,75501,564719,1.52,3,0.999
1,12,1987,small,famiclone,northgate,9.10,45.0,30.0,1.502,0,3,1,395126,1413085,14600,77177,65940,1350508,3.29,4,1.070
1,13,1987,small,famiclone,northgate,8.90,46.7,30.0,1.557,2,3,0,287502,1039364,15100,80502,68872,973962,2.40,4,0.942
1,15,1988,small,famiclone,northgate,6.10,30.8,30.0,1.027,3,5,3,14171,38452,15000,38689,27124,14763,0.12,6,0.711
1,14,1987,small,famiclone,northgate,9.00,47.0,30.0,1.567,0,3,1,565893,2087403,17200,106273,93048,1998330,4.72,5,0.959
1,16,1988,small,famiclone,northgate,8.60,45.8,30.0,1.526,2,3,1,323187,1205095,16900,100910,87924,1121085,2.69,6,1.029
1,21,1988,medium,famiclone,atlas,5.70,133.6,166.0,0.805,2,6,1,7783,0,38200,63783,43664,-25583,0.06,7,0.371
1,18,1988,medium,famiclone,northgate,8.20,179.6,166.0,1.082,1,6,1,156664,855398,32500,130471,105504,757427,1.31,7,0.606
