seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
2,1986,7881,1,0,bedroom,1,0,3,6.07,2.7,80
2,1987,2848036,16,65350,studio_building,2,40280,8,7.68,24.6,60045
2,1988,4415052,20,91000,campus,2,119900,22,7.55,63.4,182744
2,1989,9650702,20,101050,campus,2,123200,33,7.46,90.9,295076
2,1990,15686712,20,114750,campus,2,126500,44,7.34,100.0,360860
2,1991,23054093,20,135050,campus,2,130900,56,7.28,100.0,446448
2,1992,25886910,20,166050,campus,2,135300,67,7.31,100.0,490812
2,1993,34700852,20,212475,campus,2,139700,78,7.31,100.0,573293
2,1994,40038745,20,264125,campus,2,144100,82,7.33,100.0,631987
2,1995,39494411,20,293150,campus,2,148500,84,7.33,100.0,655048
2,1996,37961786,20,293150,campus,2,152900,86,7.34,100.0,675515
2,1996,37961786,20,293150,campus,2,152900,86,7.34,100.0,675515
