seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
2,1986,541,1,0,bedroom,1,0,3,4.80,0.0,0
2,1987,47797,1,0,bedroom,1,0,6,5.92,4.7,478
2,1988,1673981,12,40675,large_studio_floor,1,8502,12,7.13,19.0,29653
2,1989,2358903,16,54400,campus,2,123200,20,7.39,38.1,101880
2,1990,20269800,20,79500,campus,2,126500,30,7.23,56.0,297737
2,1991,28322003,20,97525,campus,2,130900,41,7.14,77.3,358827
2,1992,35132409,20,133800,campus,2,135300,51,7.07,95.6,426445
2,1993,47776719,20,168675,campus,2,139700,61,7.14,100.0,527161
2,1994,50653374,20,209350,campus,2,144100,64,7.12,100.0,561191
2,1995,54993263,20,228050,campus,2,148500,66,7.16,100.0,602915
2,1996,54940679,20,255600,campus,2,152900,68,7.16,100.0,629301
2,1996,54940679,20,255600,campus,2,152900,68,7.16,100.0,629301
